,id,emp_length Encoded,home_ownership Encoded,purpose Encoded,addr_state Encoded,loan_amnt,funded_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,mths_since_last_delinq,open_acc,mths_since_first_cr_line,term,revol_bal,total_acc,out_prncp
110,1114693,4,3,2,12,7000.0,7000.0,8.9,222.28,28000.0,19.2,0.0,0.0,7.0,440.0,36.0,6908.0,17.0,2951.74
111,1115417,9,0,10,37,17000.0,17000.0,7.9,531.94,77000.0,19.23,0.0,0.0,12.0,507.0,36.0,58851.0,48.0,5630.74
113,1116539,6,0,5,21,8000.0,8000.0,7.51,248.89,28000.0,7.39,0.0,73.0,7.0,246.9,36.0,4812.0,10.0,2655.31
114,1117188,6,3,2,17,10200.0,10200.0,6.03,310.45,42000.0,17.77,1.0,12.0,13.0,274.9,36.0,16803.0,22.0,3899.34
115,1117847,3,4,2,4,12275.0,12275.0,10.65,399.84,40000.0,22.26,0.0,64.0,7.0,303.9,36.0,10111.0,20.0,4190.83
116,1118382,9,4,1,17,10000.0,10000.0,7.9,312.91,40000.0,20.58,0.0,0.0,4.0,339.9,36.0,7973.0,15.0,3316.31
117,1118942,2,0,2,21,11000.0,11000.0,6.03,334.8,30000.0,9.49,0.0,0.0,6.0,239.8,36.0,5770.0,15.0,3576.98
118,1119451,3,0,2,24,4125.0,4125.0,7.51,128.34,47000.0,10.93,0.0,0.0,11.0,277.8,36.0,16626.0,26.0,1374.68
119,1119935,0,4,12,17,15000.0,15000.0,7.9,469.36,31200.0,16.04,0.0,0.0,7.0,254.9,36.0,2820.0,18.0,4968.98
121,1120662,1,3,2,44,12000.0,12000.0,10.65,390.88,55000.0,17.39,0.0,0.0,7.0,402.8,36.0,30667.0,18.0,4094.12
123,1121700,1,4,2,4,24000.0,24000.0,19.03,622.97,90000.0,3.63,0.0,0.0,6.0,268.7,60.0,8568.0,15.0,17019.25
124,1122318,11,4,2,3,8500.0,8500.0,11.71,281.15,16594.0,7.95,0.0,0.0,3.0,273.8,36.0,8562.0,14.0,2933.04
125,1122866,3,0,2,9,21000.0,21000.0,19.42,549.62,57000.0,16.19,0.0,0.0,6.0,201.8,60.0,6266.0,10.0,14612.76
128,1124486,9,4,5,25,6000.0,6000.0,15.96,210.83,150000.0,16.78,0.0,52.0,18.0,508.7,36.0,33977.0,28.0,2336.48
130,1125584,4,3,1,12,8800.0,8800.0,12.42,294.06,40000.0,20.13,0.0,0.0,7.0,230.7,36.0,11347.0,18.0,3316.36
131,1126406,1,4,2,0,30000.0,30000.0,16.29,1059.02,105000.0,15.45,0.0,0.0,8.0,210.4,36.0,11118.0,11.0,11669.72
132,1127794,3,0,1,4,6400.0,6400.0,9.91,206.24,63800.0,6.08,0.0,0.0,7.0,239.7,36.0,12558.0,11.0,2361.53
133,1128394,2,4,1,41,10400.0,10400.0,12.69,348.87,71000.0,10.12,0.0,0.0,8.0,432.7,36.0,24217.0,13.0,3890.16
135,1129624,5,4,2,37,10000.0,10000.0,10.65,325.74,34000.0,12.56,1.0,19.0,5.0,416.6,36.0,14087.0,9.0,3700.26
138,1131430,7,0,4,18,34475.0,34475.0,11.71,761.84,73000.0,17.19,0.0,0.0,11.0,362.6,60.0,21744.0,30.0,23042.35
139,1132029,1,0,1,20,10000.0,10000.0,7.51,311.11,65000.0,19.2,0.0,46.0,9.0,361.6,36.0,18917.0,29.0,3597.68
140,1132771,7,0,3,32,25300.0,25300.0,9.91,815.3,75000.0,5.63,0.0,0.0,11.0,290.5,36.0,2164.0,27.0,9291.87
141,1133792,3,0,3,4,10000.0,10000.0,12.69,335.45,88000.0,11.55,0.0,39.0,8.0,274.5,36.0,5165.0,27.0,3776.65
142,1134817,2,4,10,4,7700.0,7700.0,17.58,276.76,44000.0,19.04,0.0,0.0,6.0,184.5,36.0,526.0,7.0,3041.32
143,1135763,3,4,11,24,5000.0,5000.0,8.9,158.77,55000.0,10.31,0.0,0.0,4.0,272.5,36.0,4634.0,15.0,1825.16
144,1136794,1,0,3,25,14000.0,14000.0,10.65,456.03,114000.0,5.3,0.0,0.0,5.0,319.5,36.0,681.0,17.0,5191.6
146,1138179,9,4,0,4,3000.0,3000.0,10.65,97.72,30000.0,20.32,0.0,0.0,9.0,229.5,36.0,9430.0,24.0,1112.92
148,1139438,2,0,2,37,8000.0,8000.0,17.27,286.3,71000.0,16.55,0.0,0.0,5.0,262.4,36.0,17647.0,7.0,3143.98
149,1139871,6,0,1,10,16500.0,16500.0,11.71,364.62,85000.0,17.86,0.0,0.0,12.0,312.4,60.0,10378.0,34.0,11032.12
153,1141984,8,0,1,37,21850.0,21850.0,8.9,693.81,84000.0,13.14,0.0,0.0,12.0,239.3,36.0,16168.0,28.0,7956.42
156,1143606,1,0,1,16,10000.0,10000.0,13.67,340.18,50000.0,23.02,0.0,0.0,12.0,281.3,36.0,14000.0,35.0,3796.96
161,1146295,6,4,10,4,25000.0,25000.0,18.55,642.34,200000.0,9.18,1.0,12.0,6.0,348.3,60.0,21202.0,16.0,17638.17
162,1146902,1,4,2,25,18000.0,18000.0,14.65,620.9,72000.0,24.34,0.0,0.0,9.0,398.3,36.0,17141.0,35.0,6904.8
163,1147277,1,0,3,25,20000.0,20000.0,14.09,684.43,107000.0,6.58,0.0,0.0,10.0,271.4,36.0,14198.0,26.0,10495.72
164,1147853,1,4,2,25,20000.0,20000.0,9.76,643.1,76000.0,15.6,0.0,0.0,11.0,283.2,36.0,24779.0,47.0,5947.72
165,1088369,2,4,2,30,5500.0,5500.0,7.51,171.11,39000.0,2.22,0.0,0.0,4.0,453.5,36.0,2082.0,23.0,1827.82
167,1089841,6,4,1,4,9000.0,9000.0,6.03,273.92,37124.52,15.91,0.0,0.0,10.0,285.6,36.0,1552.0,26.0,2927.32
170,1092052,4,4,2,41,1000.0,1000.0,12.42,33.42,50000.0,12.77,0.0,50.0,17.0,494.5,36.0,5575.0,29.0,348.14
173,1095777,1,0,2,37,10000.0,10000.0,9.91,322.25,124000.0,24.16,0.0,51.0,17.0,471.4,36.0,40181.0,33.0,3386.92
174,1096232,2,3,6,16,6000.0,6000.0,11.71,198.46,25200.0,16.29,1.0,8.0,18.0,263.4,36.0,14452.0,30.0,2070.24
176,1097439,7,0,2,43,20800.0,20800.0,12.69,469.97,70000.0,14.49,1.0,16.0,18.0,400.4,60.0,13042.0,51.0,13703.05
178,1098119,0,4,2,31,12000.0,12000.0,6.62,368.45,48000.0,16.88,0.0,0.0,9.0,353.4,36.0,13903.0,21.0,3932.68
182,1099657,1,0,2,12,16000.0,16000.0,19.91,423.11,88000.0,23.09,0.0,0.0,15.0,289.3,60.0,21273.0,34.0,11634.6
183,1100283,1,4,1,28,7000.0,7000.0,11.71,231.54,110000.0,14.54,0.0,61.0,8.0,309.3,36.0,28143.0,22.0,2415.31
187,1102326,11,0,2,37,11900.0,11900.0,8.9,377.87,33228.0,25.35,0.0,0.0,3.0,397.3,36.0,265.0,35.0,3981.54
191,1104999,10,4,1,4,5000.0,5000.0,16.77,177.7,22200.0,7.03,0.0,62.0,3.0,239.4,36.0,4913.0,8.0,1741.8
192,1105365,9,0,2,9,10000.0,10000.0,8.9,317.54,80000.0,10.84,0.0,0.0,11.0,311.2,36.0,30746.0,22.0,3355.31
193,1105806,1,0,2,1,18000.0,18000.0,11.71,595.37,80000.0,17.01,0.0,0.0,9.0,369.4,36.0,18610.0,23.0,6729.67
194,1106347,4,4,2,9,10000.0,10000.0,7.9,312.91,40000.0,19.23,0.0,0.0,17.0,244.1,36.0,8820.0,26.0,2982.16
195,1106874,2,4,2,4,20000.0,20000.0,11.71,661.52,45000.0,15.92,0.0,0.0,9.0,266.2,36.0,23736.0,12.0,7145.65
198,1108424,1,4,1,29,13800.0,13800.0,16.77,341.27,42000.0,20.47,0.0,0.0,6.0,222.1,60.0,8846.0,10.0,10414.67
199,1108817,7,4,1,12,14000.0,14000.0,9.91,451.15,163000.0,7.47,0.0,0.0,7.0,238.2,36.0,9492.0,36.0,4735.1
200,1109370,6,3,2,37,13600.0,13600.0,6.03,413.93,37000.0,21.53,0.0,0.0,12.0,440.1,36.0,17949.0,21.0,4420.76
201,1109782,5,4,2,6,18000.0,18000.0,17.58,452.98,72000.0,17.72,0.0,0.0,12.0,378.3,60.0,29513.0,38.0,13396.14
202,1110211,1,0,2,14,35000.0,35000.0,12.69,1174.07,125000.0,14.93,0.0,0.0,7.0,367.1,36.0,44559.0,28.0,12160.0
204,1111351,10,0,0,11,8000.0,8000.0,13.49,271.45,39600.0,19.03,0.0,0.0,12.0,264.0,36.0,9106.0,17.0,2803.07
206,1112352,4,4,1,37,16000.0,16000.0,14.65,551.91,65000.0,21.24,0.0,0.0,17.0,307.5,36.0,19432.0,43.0,7537.42
207,1112771,11,0,2,19,9600.0,9600.0,17.58,345.05,37600.0,18.96,2.0,21.0,8.0,376.0,36.0,6559.0,22.0,3791.2
209,1114392,4,0,2,5,3000.0,3000.0,7.9,93.88,30720.0,23.28,0.0,0.0,10.0,257.0,36.0,25650.0,29.0,998.75
210,1115074,10,0,2,19,5000.0,5000.0,7.51,155.56,27200.0,14.12,0.0,0.0,6.0,305.0,36.0,5718.0,13.0,1656.02
211,1115786,1,4,2,4,14125.0,14125.0,13.49,479.27,43000.0,24.41,0.0,0.0,18.0,367.0,36.0,27814.0,26.0,4952.7
213,1116856,8,3,1,19,6075.0,6075.0,12.42,203.0,24000.0,22.1,0.0,0.0,12.0,229.9,36.0,12964.0,17.0,2108.1
214,1117569,2,3,8,4,21000.0,21000.0,21.48,573.81,53000.0,11.69,0.0,0.0,3.0,226.8,60.0,5658.0,3.0,15441.44
216,1118731,1,4,4,9,4000.0,4000.0,13.11,134.99,49000.0,8.84,0.0,0.0,7.0,314.9,36.0,7059.0,11.0,1518.83
218,1119690,5,0,2,19,15000.0,15000.0,14.65,517.42,44000.0,20.07,0.0,0.0,11.0,285.9,36.0,13843.0,20.0,5308.09
219,1120117,1,0,2,20,10000.0,10000.0,12.12,332.72,55000.0,13.51,0.0,48.0,9.0,278.0,36.0,7279.0,14.0,6002.1
220,1120476,3,4,2,10,5000.0,5000.0,7.62,155.81,88000.0,20.07,1.0,22.0,9.0,357.3,36.0,25223.0,19.0,1802.07
221,1120853,4,3,2,9,2400.0,2400.0,9.91,77.34,62000.0,15.66,0.0,75.0,7.0,308.8,36.0,4704.0,19.0,1213.9
222,1121307,0,0,2,11,20000.0,20000.0,17.27,499.96,88000.0,8.09,0.0,0.0,11.0,406.8,60.0,19466.0,31.0,13986.48
223,1122041,4,4,2,28,13000.0,13000.0,14.27,446.02,73000.0,8.27,0.0,30.0,13.0,316.8,36.0,12653.0,22.0,4976.75
224,1122717,10,4,1,37,7050.0,7050.0,8.9,223.87,20000.0,13.62,0.0,0.0,4.0,309.8,36.0,7704.0,10.0,2570.75
225,1123062,10,4,1,4,10000.0,10000.0,7.51,311.11,35000.0,8.13,0.0,0.0,7.0,335.8,36.0,9153.0,14.0,3594.58
226,1123691,10,4,12,7,15000.0,15000.0,7.9,469.36,93600.0,4.85,0.0,0.0,6.0,269.8,36.0,4280.0,7.0,5403.82
227,1124181,2,3,2,34,10000.0,10000.0,12.42,334.16,110000.0,19.76,0.0,0.0,16.0,446.8,36.0,36400.0,47.0,3767.93
228,1124809,6,3,3,32,35000.0,35000.0,8.9,1111.37,110000.0,1.36,0.0,0.0,6.0,316.7,36.0,3493.0,17.0,12735.73
230,1125853,0,4,2,3,7500.0,7500.0,12.42,250.62,33280.0,8.65,0.0,0.0,5.0,206.3,36.0,6193.0,9.0,2843.33
231,1126681,11,3,8,4,8400.0,8400.0,6.03,255.66,31200.0,13.19,0.0,0.0,8.0,484.7,36.0,20109.0,20.0,2976.12
232,1128047,5,4,2,2,4000.0,4000.0,16.77,142.16,34000.0,18.46,0.0,66.0,6.0,242.7,36.0,3055.0,15.0,92.92
233,1128725,1,0,2,4,10000.0,10000.0,7.9,312.91,34000.0,17.49,0.0,0.0,11.0,268.7,36.0,20933.0,28.0,3605.23
234,1129376,8,0,1,20,18000.0,18000.0,14.65,620.9,124800.0,9.53,1.0,8.0,12.0,304.6,36.0,28382.0,27.0,7438.04
236,1130572,1,0,2,25,25000.0,25000.0,16.29,882.51,140000.0,9.19,0.0,52.0,10.0,393.4,36.0,35180.0,21.0,9727.72
237,1131018,2,0,5,9,33000.0,33000.0,7.62,1028.33,110000.0,5.43,0.0,0.0,7.0,198.9,36.0,4315.0,7.0,12816.45
238,1131688,6,4,5,28,9000.0,9000.0,11.71,198.89,70000.0,9.61,0.0,0.0,5.0,256.6,60.0,10.0,15.0,6017.04
239,1132251,3,4,1,42,6000.0,6000.0,8.9,190.52,30499.0,18.88,0.0,0.0,9.0,267.6,36.0,11876.0,10.0,1976.3
244,1137178,4,4,2,4,12000.0,12000.0,8.9,381.04,34000.0,18.07,0.0,31.0,9.0,370.0,36.0,11054.0,23.0,4711.57
245,1137769,5,4,8,3,11200.0,11200.0,7.9,350.46,35000.0,14.04,0.0,0.0,7.0,318.5,36.0,1400.0,11.0,4038.99
246,1138431,11,4,1,4,10000.0,10000.0,8.9,317.54,46000.0,20.8,0.0,29.0,13.0,431.2,36.0,16224.0,20.0,3926.24
247,1139109,0,4,2,37,21000.0,21000.0,12.42,701.73,125000.0,21.33,0.0,46.0,11.0,305.4,36.0,26044.0,27.0,7896.13
248,1139611,2,4,0,25,6000.0,6000.0,9.91,193.35,35000.0,20.57,0.0,0.0,7.0,222.4,36.0,4110.0,8.0,2206.78
250,1140581,5,4,1,29,10000.0,10000.0,12.12,332.72,50000.0,23.48,0.0,0.0,9.0,215.4,36.0,10885.0,13.0,3748.31
252,1141686,10,3,10,1,20000.0,20000.0,7.9,625.81,92000.0,10.47,0.0,0.0,10.0,330.4,36.0,12626.0,11.0,7201.5
256,1143881,4,0,2,4,10775.0,10775.0,6.62,330.84,60000.0,20.57,0.0,0.0,10.0,259.3,36.0,9332.0,24.0,3841.92
257,1144317,1,0,2,32,10000.0,10000.0,12.12,332.72,100000.0,14.12,0.0,0.0,12.0,245.3,36.0,14795.0,24.0,3747.93
258,1144913,5,0,0,17,10000.0,10000.0,13.99,232.64,46000.0,14.14,0.0,33.0,11.0,557.3,60.0,6892.0,25.0,6813.4
259,1145401,6,4,2,28,25000.0,25000.0,13.11,570.24,87000.0,28.15,0.0,0.0,14.0,486.3,60.0,19598.0,21.0,16898.84
260,1146037,2,4,2,4,6000.0,6000.0,9.76,192.93,30000.0,8.44,0.0,0.0,5.0,239.3,36.0,2647.0,9.0,2204.09
269,1150922,11,3,2,4,18500.0,18500.0,12.12,412.65,50000.0,14.62,0.0,0.0,10.0,381.1,60.0,29791.0,19.0,12416.53
270,1151678,1,0,2,28,16000.0,16000.0,20.99,432.77,43000.0,18.39,1.0,9.0,9.0,299.1,60.0,8917.0,17.0,11506.89
271,1152320,10,4,2,37,2000.0,2000.0,19.22,73.54,74400.0,12.87,0.0,0.0,4.0,193.1,36.0,7484.0,6.0,804.8
272,1152911,1,0,3,15,8000.0,8000.0,13.99,273.39,110000.0,10.88,0.0,52.0,10.0,356.1,36.0,18546.0,34.0,3063.03
273,1153641,0,4,2,4,25000.0,25000.0,13.67,577.44,55000.0,10.24,0.0,0.0,10.0,274.1,60.0,15769.0,20.0,16998.45
274,1154165,3,4,12,28,7600.0,7600.0,13.99,259.72,58000.0,10.28,0.0,27.0,21.0,232.0,36.0,1503.0,26.0,1341.13
276,1155883,5,4,2,28,25000.0,25000.0,19.99,928.97,153000.0,13.39,0.0,0.0,9.0,361.0,36.0,21877.0,10.0,10067.81
278,1157027,1,4,2,31,14000.0,14000.0,13.99,478.42,43000.0,11.75,0.0,0.0,5.0,368.9,36.0,6842.0,8.0,5346.05
280,1158076,2,4,2,20,15000.0,15000.0,13.11,506.21,80000.0,22.92,0.0,0.0,17.0,613.9,36.0,26966.0,25.0,3965.49
282,1159223,1,0,2,23,5875.0,5875.0,13.99,200.77,58000.0,7.99,0.0,0.0,9.0,367.7,36.0,13136.0,18.0,2251.13
283,1159657,4,0,8,6,8400.0,8400.0,13.11,283.48,87000.0,13.96,1.0,7.0,9.0,291.8,36.0,6283.0,25.0,3184.64
286,1161922,0,4,2,28,7200.0,7200.0,15.31,250.69,84000.0,16.56,1.0,9.0,14.0,287.8,36.0,9031.0,49.0,1638.56
287,1162703,1,0,2,42,32000.0,32000.0,23.33,908.18,91271.0,20.13,0.0,0.0,12.0,359.5,60.0,13988.0,30.0,23849.86
288,1163133,1,0,2,28,10000.0,10000.0,7.62,311.62,175000.0,11.23,0.0,70.0,10.0,297.8,36.0,0.0,28.0,3904.43
291,1164890,6,4,2,4,12000.0,12000.0,13.11,273.72,48000.0,12.38,0.0,0.0,13.0,327.7,60.0,8261.0,18.0,8294.89
293,1166306,11,3,3,18,12000.0,12000.0,6.03,365.23,58000.0,9.79,0.0,0.0,10.0,440.6,36.0,1242.0,16.0,4589.22
295,1167793,9,4,2,4,25000.0,25000.0,21.48,683.11,49000.0,24.15,0.0,48.0,9.0,409.6,60.0,24280.0,24.0,18379.52
297,1171244,0,4,1,25,4375.0,4375.0,14.65,150.92,181000.0,10.18,2.0,7.0,17.0,655.6,36.0,33439.0,31.0,1809.03
